Year,Month,Day,P6,P12,P18,T6,T12,T18
2011,1,1,983.02,993.02,999.05,-2.8,-0.7,-2.4
2011,1,2,1005.03,1007.05,1009.02,-3.9,-4,-2.8
2011,1,3,1010.03,1011,1010.07,-6,-5.6,-8.9
2011,1,4,1009.09,1011.02,1011.06,-7.6,-5.9,-5.6
2011,1,5,1009,1008.07,1008.05,-0.8,-0.3,-0.9
2011,1,6,1003.09,997.01,995.02,-1.6,-1.2,-0.5
2011,1,7,997.01,999.06,1005.08,0.04,1.01,-1.5
2011,1,8,1011.03,1008.06,1002.06,-3.2,0.03,1.03
2011,1,9,997.03,1000.01,1000.07,3,2.06,-0.6
2011,1,10,1000.07,1005.06,1009.08,2,2.05,2.07
2011,1,11,1012.03,1011.08,1010,-0.6,0.02,-0.5
2011,1,12,1000.09,997.04,998,0.04,0.05,-1.8
2011,1,13,1003.04,1005.04,1007.02,-3,-4.1,-8.2
2011,1,14,1008.08,1010.09,1013,-6.8,-4.6,-8.7
2011,1,15,1016.06,1019.03,1021,-5.2,-4.3,-4.9
2011,1,16,1011.03,1008.02,1007.03,0.03,1.07,3.04
2011,1,17,1006.04,1008.05,1011.08,4.04,4,3.04
2011,1,18,1010.05,1010.07,1012.01,2.07,2.09,2
2011,1,19,1016.02,1018.08,1020.09,-1.2,-0.6,-1.5
2011,1,20,1024.04,1026.05,1027.03,-3.2,-2.2,-1.3
2011,1,21,1028,1028.01,1026,-2,-1.7,-2.3
2011,1,22,1023.01,1021.06,1020.02,-2.5,0,-0.1
2011,1,23,1021.03,1021.05,1021.02,-4.4,-3,-4
2011,1,24,1013.06,1008.08,1003.06,-1.2,1.05,0.02
2011,1,25,999,1001.06,1004.09,-0.6,-2.4,-3.6
2011,1,26,1011.06,1015.02,1016.09,-6.3,-4,-6.6
2011,1,27,1018.06,1020.06,1019.09,-10.1,-6.4,-5.8
2011,1,28,1019.04,1019,1017,-4.5,-3.3,-0.8
2011,1,29,1006.08,1003,1004.03,0.05,2.01,1
2011,1,30,1013.04,1016.03,1017.08,-0.4,0.05,-0.1
2011,1,31,1011.04,1010,1010.01,-2.6,2.04,1
2011,2,1,1008.05,1006.04,1005,2,3,3.01
2011,2,2,1004.03,1006.05,1007.09,2.06,3.06,1.06
2011,2,3,999.07,995.01,998.01,2,4.05,3.02
2011,2,4,996.06,986.01,986.04,-0.3,2,2.04
2011,2,5,986.03,985.04,989.09,1.01,1.08,0.04
2011,2,6,1000.07,1003.08,1004.04,-0.6,3.01,1.03
2011,2,7,1005.02,1004.09,1000.01,-0.3,1.03,2
2011,2,8,980.03,992.05,1000.08,0.03,1.08,0.08
2011,2,9,1008.06,1017.01,1022,-0.5,-1.6,-3.1
2011,2,10,1020,1013.08,1002.02,-3.8,-0.9,-0.2
2011,2,11,1001.05,1009.04,1016.01,-2.8,-4.9,-8.3
2011,2,12,1018.02,1020,1021.06,-7.6,-5.4,-5.8
2011,2,13,1023.07,1025.07,1027.04,-7.6,-6,-9.3
2011,2,14,1030,1030.04,1028.07,-16,-10.4,-12.8
2011,2,15,1025.04,1023.08,1022.02,-11,-6,-7.6
2011,2,16,1020.04,1021,1021.01,-5.1,-3.7,-4.7
2011,2,17,1023.08,1026.05,1027.06,-4.9,-4.5,-6.7
2011,2,18,1029.09,1030.07,1031.01,-9.2,-6.8,-11.5
2011,2,19,1030.09,1030.05,1030.04,-18.2,-11,-11.9
2011,2,20,1029.04,1028.06,1028.05,-13.6,-5.8,-6.7
2011,2,21,1031.02,1032.08,1034,-6.3,-6.1,-8.5
2011,2,22,1032.01,1031.05,1032.02,-9.6,-7.2,-11.4
2011,2,23,1033.02,1033.06,1034,-14.8,-8.1,-9.8
2011,2,24,1034.01,1034.03,1033.04,-12.8,-6.6,-6.3
2011,2,25,1031,1029.05,1027.07,-3.4,-1.2,-0.4
2011,2,26,1023.08,1023.06,1023.08,-0.5,2,-0.7
2011,2,27,1024.09,1026.02,1027,-2.6,-2.1,-2.2
2011,2,28,1030.07,1033.07,1035.05,-3.1,-1.3,-2
2011,3,1,1036.09,1037.01,1038.01,-2.6,-2,-1.8
2011,3,2,1040.04,1040.04,1037.02,-5.7,2,-1.5
2011,3,3,1030,1030.04,1030.01,-2.3,2.02,0.09
2011,3,4,1023.07,1017,1008.09,-1.1,1.02,1.09
2011,3,5,1007.06,1008.02,1011.05,-0.7,3,0.06
2011,3,6,1020.07,1026.05,1029.05,-3.6,0.06,-0.6
2011,3,7,1027.06,1025.01,1024.02,-3.1,2.05,2.04
2011,3,8,1020.05,1017.04,1013.03,1.01,5,2.04
2011,3,9,1006,999.04,994.08,-0.8,4,2.05
2011,3,10,997.09,997.01,988.07,1,4.04,1.08
2011,3,11,985.01,995.02,998.02,0.06,2.03,1
2011,3,12,1002,1005.02,1006.08,0.09,5.08,3.06
2011,3,13,1010,1010.09,1011.04,0.09,3.03,1.07
2011,3,14,1012.06,1018.04,1025.04,2.03,3.09,1.05
2011,3,15,1034.02,1035.04,1035.09,-3.9,2.06,-0.6
2011,3,16,1037.06,1038,1035.04,-3.3,1.05,-1.3
2011,3,17,1029.05,1026.05,1023.06,-1.2,0.02,-0.4
2011,3,18,1017.03,1014.04,1014.01,0.03,0.05,0.01
2011,3,19,1018,1021.03,1024.06,-1.7,3.01,2.04
2011,3,20,1026.04,1025.05,1023.05,-2.9,6.05,4.04
2011,3,21,1018.07,1016,1014.02,3,6.04,5.04
2011,3,22,1014,1012.09,1015.01,6,11.01,9.02
