Year,Month,Day,P6,P12,P18,T6,T12,T18
2009,1,1,1021.01,1023.06,1024,-4.1,-5.2,-6
2009,1,2,1021.05,1020.08,1016.07,-7.8,-6.5,-4.7
2009,1,3,1009.03,1008.05,1011.04,-4,-4.5,-5.8
2009,1,4,1014.02,1015.03,1016.05,-10.2,-9.4,-10.7
2009,1,5,1020.04,1021.05,1019.02,-9.3,-9,-8.6
2009,1,6,1009.02,1002.05,998.08,-4.4,-0.9,-0.3
2009,1,7,1002.09,1007.04,1012.08,-5.7,-6,-7.7
2009,1,8,1015.07,1009.01,1004,-9.5,-3.3,1.02
2009,1,9,1005.03,1012.04,1018.01,2.05,5.07,2.03
2009,1,10,1019,1018.06,1017.09,0.06,2.05,2.03
2009,1,11,1013.01,1011,1006.05,1.09,3.03,3
2009,1,12,1001.03,1000.01,999.06,5.05,5.08,5.04
2009,1,13,998.02,999.06,1000.08,4.05,4.07,4.05
2009,1,14,1003.07,1006.03,1010.02,2.06,3.03,0.05
2009,1,15,1017.05,1023.09,1025,-1.2,-2.7,-4.6
2009,1,16,1030.08,1031.09,1031.09,-8.4,-5.1,-5.4
2009,1,17,1028.03,1025.09,1022.04,-3.8,-1.6,-2
2009,1,18,1014.01,1010,1005.08,-1.3,-0.6,-0.4
2009,1,19,1000.05,999,998.02,-0.6,0.03,0.06
2009,1,20,996.04,995.07,999.03,1.04,2.02,2.04
2009,1,21,1005.07,1008.07,1010.02,-0.1,1.06,0.02
2009,1,22,1007.03,1003.07,1000.08,1,0.08,0.01
2009,1,23,997.06,997.06,994.06,0,2,2.01
2009,1,24,989.01,989.03,991.09,0.09,1.07,2
2009,1,25,995.03,997.06,1000.05,2.01,2.03,2.01
2009,1,26,1005.05,1008,1010,1.05,1.01,0.08
2009,1,27,1013.02,1014.09,1016.07,-0.4,-0.2,-0.3
2009,1,28,1017.03,1017.08,1019.03,0.03,0.05,0.07
2009,1,29,1021.09,1024.04,1027.02,0.04,-0.3,-2.9
2009,1,30,1029.09,1031.01,1032,-1.9,-0.8,-0.9
2009,1,31,1032.01,1032.06,1033.02,-1.7,-0.4,-3
2009,2,1,1033.02,1033.01,1031.04,-5.7,-2,-2.5
2009,2,2,1029.09,1028.07,1026.08,-3,0,-1.1
2009,2,3,1020.02,1016.04,1011.03,-3,0.03,-0.8
2009,2,4,1002.08,1001.07,1001,-1.3,-1.2,-1
2009,2,5,1000.01,999.09,999.05,-1.3,0.02,0.05
2009,2,6,996.07,994.05,994.07,0.07,0.09,1.05
2009,2,7,995.05,994.04,992.06,1.01,2.03,2
2009,2,8,984,984.01,989,1.09,1.07,-1.1
2009,2,9,996.05,1000.03,1002,-3.8,-0.4,-0.7
2009,2,10,1002.05,1002.05,1003,-2.7,-0.3,0.01
2009,2,11,1005,1006.03,1007.07,-1.8,0.05,-0.6
2009,2,12,1009.09,1011,1012.01,-2.1,-0.4,-2.6
2009,2,13,1013.06,1015.05,1017.01,-3.4,-2,-3.5
2009,2,14,1017.09,1018.06,1017.07,-7.9,-4.5,-3.5
2009,2,15,1017.03,1017.09,1019,-5.5,-1.8,-2.6
2009,2,16,1019.08,1021.02,1023,-4.1,-3.3,-4.6
2009,2,17,1025.01,1026.05,1027.06,-5,-3,-4.3
2009,2,18,1026.08,1025.08,1024.08,-5.7,-3,-4.8
2009,2,19,1021.07,1021.04,1022.08,-4.7,-3.5,-4.6
2009,2,20,1024.04,1025.07,1027.01,-4.9,-2.1,-3.8
2009,2,21,1028.05,1027.02,1023,-6.3,-0.5,-3
2009,2,22,1008.08,1003.08,1002,-0.6,0.02,-0.1
2009,2,23,1007.04,1011,1014.07,-1.9,-2.2,-1.4
2009,2,24,1017.07,1017.08,1014.04,-3,1.01,1.07
2009,2,25,1013,1011.09,1007.09,-0.1,2.08,0.06
2009,2,26,996.03,994.08,993.07,1.05,2.07,2.04
2009,2,27,1000.06,1002.05,1005.04,-0.9,0.07,-0.6
2009,2,28,1010.02,1012.08,1016.08,-5.4,-1.3,-3.5
2009,3,1,1019.09,1020.04,1019.05,-7.4,-1,-2.4
2009,3,2,1015.08,1013,1008.06,-0.5,1.03,0.07
2009,3,3,1007.05,1008.07,1009.04,0.05,3.01,2.09
2009,3,4,1009.06,1009.05,1009.05,1.08,3.08,2
2009,3,5,1008.01,1008.04,1009.02,0.03,3,1.04
2009,3,6,1009,1009.06,1009.06,1.03,2.01,0.02
2009,3,7,1009.09,1010.08,1010.09,0.06,1.02,0.04
2009,3,8,1006.03,1001.09,998.02,-0.4,3.02,1.02
2009,3,9,998.04,1001.05,1001.07,1.02,1.02,0.08
2009,3,10,998.07,998.06,999.05,-1,0.01,-1.6
2009,3,11,1004.05,1010.01,1015.04,-2.5,0.01,-0.8
2009,3,12,1018.03,1017.02,1014.08,-2.3,0.07,0.04
2009,3,13,1014.05,1016.01,1016.03,0.06,2.08,1.04
2009,3,14,1015,1014.09,1015,1.04,3.03,2.02
2009,3,15,1018.01,1022.01,1025.08,1.01,4.05,3.02
2009,3,16,1026,1023.02,1020.09,-0.7,6.05,4.01
2009,3,17,1011.01,1012.05,1016.01,2.08,3.08,5.03
2009,3,18,1019.09,1021,1022.07,0.01,4.08,2.08
2009,3,19,1026.09,1030.03,1033.01,-1,1.09,-1.2
2009,3,20,1029.01,1025.02,1022.03,-1.1,4.05,3.05
2009,3,21,1015.08,1015.06,1014.01,3.08,5.03,2.06
2009,3,22,1011,1008.06,1002,-1.4,2.02,0.01
2009,3,23,993,990.09,991,-1.3,0.07,-1.5
2009,3,24,995.05,999.08,1003.07,-4,-0.7,-4.1
2009,3,25,1004.02,1004.05,1005.05,-5.9,-0.5,-0.7
2009,3,26,1005.08,1006,1004.06,-4.1,2.06,-0.8
2009,3,27,1001.01,999.03,996.09,-1.5,1.05,0
2009,3,28,998.03,1000.06,1002.07,1.01,2.05,1.09
2009,3,29,1003.06,1005.04,1009.03,0.06,3.06,1.09
